,time,solar_effect,room_temp,ambient_temp,heating_setpoint,cooling_setpoint,occupancy_effect
0,2024-11-26 00:00:00+00:00,6.405035888651401,22.3,7.9,22.0,26.0,0
1,2024-11-26 00:01:00+00:00,6.405035888651401,22.3,7.9,22.0,26.0,0
2,2024-11-26 00:02:00+00:00,6.405035888651401,22.3,7.9,22.0,26.0,0
3,2024-11-26 00:04:00+00:00,6.405035888651401,22.2,7.9,22.0,26.0,0
4,2024-11-26 00:05:00+00:00,6.405035888651401,22.2,7.9,22.0,26.0,0
5,2024-11-26 00:06:00+00:00,6.405035888651401,22.2,7.9,22.0,26.0,0
6,2024-11-26 00:07:00+00:00,6.405035888651401,22.1,7.9,22.0,26.0,0
7,2024-11-26 00:09:00+00:00,6.405035888651401,22.2,7.9,22.0,26.0,0
8,2024-11-26 00:10:00+00:00,6.405035888651401,22.3,7.9,22.0,26.0,0
9,2024-11-26 00:11:00+00:00,6.405035888651401,22.3,7.9,22.0,26.0,0
10,2024-11-26 00:12:00+00:00,6.405035888651401,22.2,7.9,22.0,26.0,0
11,2024-11-26 00:13:00+00:00,6.405035888651401,22.2,7.9,22.0,26.0,0
12,2024-11-26 00:14:00+00:00,6.405035888651401,22.1,7.9,22.0,26.0,0
13,2024-11-26 00:15:00+00:00,6.405035888651401,22.1,7.9,22.0,26.0,0
14,2024-11-26 00:16:00+00:00,6.405035888651401,22.2,7.9,22.0,26.0,0
15,2024-11-26 00:18:00+00:00,6.405035888651401,22.1,7.9,22.0,26.0,0
16,2024-11-26 00:19:00+00:00,6.405035888651401,22.3,7.9,22.0,26.0,0
17,2024-11-26 00:20:00+00:00,6.405035888651401,22.1,7.9,22.0,26.0,0
18,2024-11-26 00:21:00+00:00,6.405035888651401,22.1,7.9,22.0,26.0,0
19,2024-11-26 00:22:00+00:00,6.405035888651401,22.0,7.9,22.0,26.0,0
20,2024-11-26 00:23:00+00:00,6.405035888651401,22.1,7.9,22.0,26.0,0
21,2024-11-26 00:24:00+00:00,6.405035888651401,22.2,7.9,22.0,26.0,0
22,2024-11-26 00:25:00+00:00,6.405035888651401,22.1,7.9,22.0,26.0,0
23,2024-11-26 00:26:00+00:00,6.405035888651401,22.2,7.9,22.0,26.0,0
24,2024-11-26 00:27:00+00:00,6.405035888651401,22.0,7.9,22.0,26.0,0
25,2024-11-26 00:28:00+00:00,6.405035888651401,22.0,7.9,22.0,26.0,0
26,2024-11-26 00:29:00+00:00,6.405035888651401,22.1,7.9,22.0,26.0,0
27,2024-11-26 00:30:00+00:00,6.405035888651401,22.2,7.8,22.0,26.0,0
28,2024-11-26 00:31:00+00:00,6.405035888651401,22.1,7.8,22.0,26.0,0
29,2024-11-26 00:32:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
30,2024-11-26 00:33:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
31,2024-11-26 00:34:00+00:00,6.405035888651401,22.1,7.8,22.0,26.0,0
32,2024-11-26 00:35:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
33,2024-11-26 00:36:00+00:00,6.405035888651401,21.9,7.8,22.0,26.0,0
34,2024-11-26 00:37:00+00:00,6.405035888651401,22.2,7.8,22.0,26.0,0
35,2024-11-26 00:38:00+00:00,6.405035888651401,22.1,7.8,22.0,26.0,0
36,2024-11-26 00:39:00+00:00,6.405035888651401,22.1,7.8,22.0,26.0,0
37,2024-11-26 00:40:00+00:00,6.405035888651401,22.1,7.8,22.0,26.0,0
38,2024-11-26 00:41:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
39,2024-11-26 00:42:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
40,2024-11-26 00:43:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
41,2024-11-26 00:44:00+00:00,6.405035888651401,22.1,7.8,22.0,26.0,0
42,2024-11-26 00:45:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
43,2024-11-26 00:46:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
44,2024-11-26 00:47:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
45,2024-11-26 00:48:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
46,2024-11-26 00:49:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
47,2024-11-26 00:50:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
48,2024-11-26 00:51:00+00:00,6.405035888651401,21.9,7.8,22.0,26.0,0
49,2024-11-26 00:52:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
50,2024-11-26 00:53:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
51,2024-11-26 00:54:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
52,2024-11-26 00:55:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
53,2024-11-26 00:56:00+00:00,6.405035888651401,22.1,7.8,22.0,26.0,0
54,2024-11-26 00:57:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
55,2024-11-26 00:58:00+00:00,6.405035888651401,21.9,7.8,22.0,26.0,0
56,2024-11-26 00:59:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
57,2024-11-26 01:00:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
58,2024-11-26 01:01:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
59,2024-11-26 01:02:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
60,2024-11-26 01:03:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
61,2024-11-26 01:04:00+00:00,6.405035888651401,22.0,7.8,22.0,26.0,0
62,2024-11-26 01:05:00+00:00,6.405035888651401,22.1,7.8,22.0,26.0,0
63,2024-11-26 01:06:00+00:00,6.405035888651401,21.9,7.8,22.0,26.0,0
