,time,solar_effect,room_temp,ambient_temp,heating_setpoint,cooling_setpoint,occupancy_effect
0,2025-01-10 00:00:00+00:00,7.7060720214261,21.675,-1.7,20.2999992371,24.2999992371,0.0
1,2025-01-10 00:01:00+00:00,7.7060720214261,21.677777777777777,-1.7,20.2999992371,24.2999992371,0.0
2,2025-01-10 00:02:00+00:00,7.7060720214261,21.67,-1.7,20.2999992371,24.2999992371,0.0
3,2025-01-10 00:03:00+00:00,7.7060720214261,21.663636363636364,-1.7,20.2999992371,24.2999992371,0.0
4,2025-01-10 00:04:00+00:00,7.7060720214261,21.65833333333333,-1.7,20.2999992371,24.2999992371,0.0
5,2025-01-10 00:05:00+00:00,7.7060720214261,21.653846153846157,-1.7,20.2999992371,24.2999992371,0.0
6,2025-01-10 00:06:00+00:00,7.7060720214261,21.65,-1.7,20.2999992371,24.2999992371,0.0
7,2025-01-10 00:07:00+00:00,7.7060720214261,21.646666666666665,-1.7,20.2999992371,24.2999992371,0.0
8,2025-01-10 00:08:00+00:00,7.7060720214261,21.64,-1.7,20.2999992371,24.2999992371,0.0
9,2025-01-10 00:09:00+00:00,7.7060720214261,21.64,-1.7,20.2999992371,24.2999992371,0.0
10,2025-01-10 00:10:00+00:00,7.7060720214261,21.646666666666665,-1.7,20.2999992371,24.2999992371,0.0
11,2025-01-10 00:11:00+00:00,7.7060720214261,21.64666666666667,-1.7,20.2999992371,24.2999992371,0.0
12,2025-01-10 00:12:00+00:00,7.7060720214261,21.64,-1.7,20.2999992371,24.2999992371,0.0
13,2025-01-10 00:13:00+00:00,7.7060720214261,21.633333333333333,-1.7,20.2999992371,24.2999992371,0.0
14,2025-01-10 00:14:00+00:00,7.7060720214261,21.64,-1.7,20.2999992371,24.2999992371,0.0
15,2025-01-10 00:15:00+00:00,7.7060720214261,21.633333333333333,-1.7,20.2999992371,24.2999992371,0.0
16,2025-01-10 00:16:00+00:00,7.7060720214261,21.633333333333333,-1.7,20.2999992371,24.2999992371,0.0
17,2025-01-10 00:17:00+00:00,7.7060720214261,21.64,-1.7,20.2999992371,24.2999992371,0.0
18,2025-01-10 00:18:00+00:00,7.7060720214261,21.64,-1.7,20.2999992371,24.2999992371,0.0
19,2025-01-10 00:19:00+00:00,7.7060720214261,21.65333333333333,-1.7,20.2999992371,24.2999992371,0.0
20,2025-01-10 00:20:00+00:00,7.7060720214261,21.65333333333333,-1.7,20.2999992371,24.2999992371,0.0
21,2025-01-10 00:21:00+00:00,7.7060720214261,21.66,-1.7,20.2999992371,24.2999992371,0.0
22,2025-01-10 00:22:00+00:00,7.7060720214261,21.660000000000004,-1.7,20.2999992371,24.2999992371,0.0
23,2025-01-10 00:23:00+00:00,7.7060720214261,21.666666666666668,-1.7,20.2999992371,24.2999992371,0.0
24,2025-01-10 00:24:00+00:00,7.7060720214261,21.66,-1.7,20.2999992371,24.2999992371,0.0
25,2025-01-10 00:25:00+00:00,7.7060720214261,21.666666666666668,-1.7,20.2999992371,24.2999992371,0.0
26,2025-01-10 00:26:00+00:00,7.7060720214261,21.666666666666668,-1.7,20.2999992371,24.2999992371,0.0
27,2025-01-10 00:27:00+00:00,7.7060720214261,21.660000000000004,-1.7,20.2999992371,24.2999992371,0.0
28,2025-01-10 00:28:00+00:00,7.7060720214261,21.660000000000004,-1.7,20.2999992371,24.2999992371,0.0
29,2025-01-10 00:29:00+00:00,7.7060720214261,21.65333333333333,-1.7,20.2999992371,24.2999992371,0.0
30,2025-01-10 00:30:00+00:00,7.7060720214261,21.65333333333333,-1.7,20.2999992371,24.2999992371,0.0
31,2025-01-10 00:31:00+00:00,7.7060720214261,21.65333333333333,-1.7,20.2999992371,24.2999992371,0.0
32,2025-01-10 00:32:00+00:00,7.7060720214261,21.646666666666665,-1.7,20.2999992371,24.2999992371,0.0
33,2025-01-10 00:33:00+00:00,7.7060720214261,21.64,-1.7,20.2999992371,24.2999992371,0.0
34,2025-01-10 00:34:00+00:00,7.7060720214261,21.62,-1.7,20.2999992371,24.2999992371,0.0
35,2025-01-10 00:35:00+00:00,7.7060720214261,21.62,-1.7,20.2999992371,24.2999992371,0.0
36,2025-01-10 00:36:00+00:00,7.7060720214261,21.613333333333337,-1.7,20.2999992371,24.2999992371,0.0
37,2025-01-10 00:37:00+00:00,7.7060720214261,21.613333333333333,-1.7,20.2999992371,24.2999992371,0.0
38,2025-01-10 00:38:00+00:00,7.7060720214261,21.606666666666666,-1.7,20.2999992371,24.2999992371,0.0
