,time,solar_effect,room_temp,ambient_temp,heating_setpoint,cooling_setpoint,occupancy_effect
0,2025-02-27 00:00:00+00:00,8.481336547735802,22.4625,3.0,21.0,25.0,0.0
1,2025-02-27 00:01:00+00:00,8.481336547735802,22.466666666666665,3.0,21.0,25.0,0.0
2,2025-02-27 00:02:00+00:00,8.481336547735802,22.47,3.0,21.0,25.0,0.0
3,2025-02-27 00:03:00+00:00,8.481336547735802,22.472727272727276,3.0,21.0,25.0,0.0
4,2025-02-27 00:04:00+00:00,8.481336547735802,22.475,3.0,21.0,25.0,0.0
5,2025-02-27 00:05:00+00:00,8.481336547735802,22.476923076923075,3.0,21.0,25.0,0.0
6,2025-02-27 00:06:00+00:00,8.481336547735802,22.478571428571428,3.0,21.0,25.0,0.0
7,2025-02-27 00:08:00+00:00,8.481336547735802,22.48,3.0,21.0,25.0,0.0
8,2025-02-27 00:09:00+00:00,8.481336547735802,22.473333333333333,3.0,21.0,25.0,0.0
9,2025-02-27 00:10:00+00:00,8.481336547735802,22.48,3.0,21.0,25.0,0.0
10,2025-02-27 00:11:00+00:00,8.481336547735802,22.480000000000004,3.0,21.0,25.0,0.0
11,2025-02-27 00:12:00+00:00,8.481336547735802,22.48,3.0,21.0,25.0,0.0
12,2025-02-27 00:13:00+00:00,8.481336547735802,22.473333333333336,3.0,21.0,25.0,0.0
13,2025-02-27 00:14:00+00:00,8.481336547735802,22.480000000000004,3.0,21.0,25.0,0.0
14,2025-02-27 00:15:00+00:00,8.481336547735802,22.48,3.0,21.0,25.0,0.0
15,2025-02-27 00:16:00+00:00,8.481336547735802,22.49333333333333,3.0,21.0,25.0,0.0
16,2025-02-27 00:17:00+00:00,8.481336547735802,22.5,3.0,21.0,25.0,0.0
17,2025-02-27 00:18:00+00:00,8.481336547735802,22.49333333333333,3.0,21.0,25.0,0.0
18,2025-02-27 00:19:00+00:00,8.481336547735802,22.5,3.0,21.0,25.0,0.0
19,2025-02-27 00:20:00+00:00,8.481336547735802,22.5,3.0,21.0,25.0,0.0
20,2025-02-27 00:21:00+00:00,8.481336547735802,22.49333333333333,3.0,21.0,25.0,0.0
21,2025-02-27 00:22:00+00:00,8.481336547735802,22.486666666666668,3.0,21.0,25.0,0.0
22,2025-02-27 00:23:00+00:00,8.481336547735802,22.48,3.0,21.0,25.0,0.0
23,2025-02-27 00:24:00+00:00,8.481336547735802,22.466666666666665,3.0,21.0,25.0,0.0
24,2025-02-27 00:25:00+00:00,8.481336547735802,22.46,3.0,21.0,25.0,0.0
25,2025-02-27 00:26:00+00:00,8.481336547735802,22.46,3.0,21.0,25.0,0.0
26,2025-02-27 00:27:00+00:00,8.481336547735802,22.46,3.0,21.0,25.0,0.0
27,2025-02-27 00:28:00+00:00,8.481336547735802,22.466666666666665,3.0,21.0,25.0,0.0
28,2025-02-27 00:29:00+00:00,8.481336547735802,22.46,3.0,21.0,25.0,0.0
29,2025-02-27 00:30:00+00:00,8.481336547735802,22.466666666666665,2.6,21.0,25.0,0.0
30,2025-02-27 00:31:00+00:00,8.481336547735802,22.46,2.6,21.0,25.0,0.0
31,2025-02-27 00:32:00+00:00,8.481336547735802,22.453333333333333,2.6,21.0,25.0,0.0
32,2025-02-27 00:33:00+00:00,8.481336547735802,22.46,2.6,21.0,25.0,0.0
