,time,solar_effect,room_temp,ambient_temp,heating_setpoint,cooling_setpoint,occupancy_effect
0,2025-03-22 00:00:00+00:00,9.2317456055916,23.5,3.9,17.0,21.0,0
1,2025-03-22 00:01:00+00:00,9.2317456055916,23.5,3.9,17.0,21.0,0
2,2025-03-22 00:03:00+00:00,9.2317456055916,23.6,3.9,17.0,21.0,0
3,2025-03-22 00:04:00+00:00,9.2317456055916,23.6,3.9,17.0,21.0,0
4,2025-03-22 00:05:00+00:00,9.2317456055916,23.6,3.9,17.0,21.0,0
5,2025-03-22 00:06:00+00:00,9.2317456055916,23.5,3.9,17.0,21.0,0
6,2025-03-22 00:07:00+00:00,9.2317456055916,23.7,3.9,17.0,21.0,0
7,2025-03-22 00:08:00+00:00,9.2317456055916,23.6,3.9,17.0,21.0,0
8,2025-03-22 00:09:00+00:00,9.2317456055916,23.5,3.9,17.0,21.0,0
9,2025-03-22 00:11:00+00:00,9.2317456055916,23.5,3.9,17.0,21.0,0
10,2025-03-22 00:12:00+00:00,9.2317456055916,23.5,3.9,17.0,21.0,0
11,2025-03-22 00:13:00+00:00,9.2317456055916,23.5,3.9,17.0,21.0,0
12,2025-03-22 00:14:00+00:00,9.2317456055916,23.5,3.9,17.0,21.0,0
13,2025-03-22 00:15:00+00:00,9.2317456055916,23.5,3.9,17.0,21.0,0
14,2025-03-22 00:16:00+00:00,9.2317456055916,23.5,3.9,17.0,21.0,0
15,2025-03-22 00:17:00+00:00,9.2317456055916,23.4,3.9,17.0,21.0,0
16,2025-03-22 00:18:00+00:00,9.2317456055916,23.6,3.9,17.0,21.0,0
17,2025-03-22 00:19:00+00:00,9.2317456055916,23.6,3.9,17.0,21.0,0
18,2025-03-22 00:20:00+00:00,9.2317456055916,23.5,3.9,17.0,21.0,0
19,2025-03-22 00:21:00+00:00,9.2317456055916,23.5,3.9,17.0,21.0,0
20,2025-03-22 00:22:00+00:00,9.2317456055916,23.5,3.9,17.0,21.0,0
21,2025-03-22 00:23:00+00:00,9.2317456055916,23.6,3.9,17.0,21.0,0
22,2025-03-22 00:24:00+00:00,9.2317456055916,23.5,3.9,17.0,21.0,0
23,2025-03-22 00:25:00+00:00,9.2317456055916,23.5,3.9,17.0,21.0,0
24,2025-03-22 00:26:00+00:00,9.2317456055916,23.5,3.9,17.0,21.0,0
25,2025-03-22 00:27:00+00:00,9.2317456055916,23.5,3.9,17.0,21.0,0
